attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,event
67,64,51628,37114,11863,13631,12194,4806,6272,2191,U
54,75,157406,103622,37789,14159,5019,5610,2631,2240,U
20,81,16552,22166,4576,51886,6846,5166,3231,927,U
29,91,22670,19240,18665,21124,15761,7914,6073,4296,U
38,96,10731,42000,10729,21588,5510,4368,2512,3571,U
63,100,11034,9004,36115,5288,1710,4348,3493,4016,U
54,90,30433,48871,12759,2740,2256,2074,5162,5231,U
41,75,15815,71552,19096,17768,5252,6119,4265,524,U
53,80,34587,12030,14101,32416,8726,7829,3416,1417,U
61,75,14053,9052,11244,24051,3169,7019,4347,1412,U
81,93,7109,7743,32575,7368,10947,6938,3163,1942,U
84,100,43207,20904,2956,26873,8554,3768,1474,1753,U
80,84,18974,36349,16949,2952,4266,5598,5125,703,U
63,90,24260,10017,18108,53719,5423,3395,2879,2467,U
60,88,34163,9172,11386,20752,7260,4721,6545,1157,U
61,96,8889,9526,18328,25239,5443,4373,2522,1184,U
57,100,18966,8199,14207,19451,5922,3286,2090,2230,U
61,93,165112,45389,20312,10634,5362,4022,5120,3065,U
54,91,66903,20491,32051,9753,5871,5021,2499,3023,U
66,81,39944,16535,25378,6373,14635,10156,7374,1265,U
70,75,14083,13507,19827,8412,7050,4267,3056,2185,U
84,61,22606,38406,4264,5719,5754,6357,2773,3062,U
69,35,121856,158706,6002,12793,3885,4377,3476,1913,U
60,29,58316,54234,10628,25866,11464,8729,1757,1310,U
57,27,8171,20757,13518,19381,7119,5389,918,1978,U
41,40,36915,49554,22352,9818,8283,2938,2509,3149,U
60,70,90422,10498,26521,27723,8905,6711,2336,763,U
70,75,118255,21082,6966,14091,5416,9911,1691,610,U
81,83,22582,4829,22718,12489,6004,7478,3808,1502,U
90,93,14990,22701,26660,14874,3173,4767,3752,1729,U
90,78,3047,23159,11366,12007,9737,4786,2095,2821,U
88,81,2821,17502,16869,10714,7977,9803,5900,1412,U
88,70,9492,13760,3783,12972,3715,5564,2215,1326,U
81,77,10612,10326,23321,28336,8116,3232,3042,962,U
75,88,47663,19422,33469,16375,5495,4478,4379,1834,U
61,96,13296,9260,20424,13260,9163,3175,1983,724,U
40,100,21042,8846,21579,65085,6288,3380,4074,1080,U
30,17,240921,70927,14825,7641,7218,13838,3081,2820,U
30,30,1703725,525024,102463,57957,54624,16770,10209,2030,U
30,30,1640194,20012,48784,2526,7064,6677,1891,403,U
14,13,562684,190324,8408,7261,3522,2568,489,572,U
3,24,138238,15438,3807,13395,4782,1454,1135,109,U
1,26,91899,73661,4913,15349,4790,2154,2467,658,U
7,43,346398,22088,24042,18836,14137,3535,1400,587,U
40,64,1010618,14167,6111,9846,9179,5695,1817,775,U
43,64,166067,25322,9317,18474,3196,2829,2116,2277,U
41,70,347979,25204,3943,8868,3744,792,945,203,U
27,48,1352478,487150,55893,27178,10580,11894,5920,4362,U
3,53,707457,21844,9455,11855,5244,1090,1205,339,U
13,34,506609,89598,7085,8254,5808,2217,447,416,U
21,30,913380,229571,17572,23205,22620,12232,14746,2777,U
35,3,340579,37075,2096,787,14729,3059,1969,525,U
10,17,962809,119158,130151,91327,23631,5485,6296,1554,U
17,41,465725,26499,19045,13818,2010,2329,1875,1190,U
14,75,72033,27854,5173,2113,1960,1399,271,180,U
40,51,746570,70288,5078,10486,15625,10006,1225,1116,U
37,40,1371239,442137,97230,104164,94856,19174,9757,7732,U
38,48,783527,37677,49950,42099,47297,9328,1590,954,U
27,50,155160,80871,15934,7171,6911,1787,1384,414,U
8,50,765083,393075,24675,56794,21015,12169,3837,1895,U
4,29,1003382,438873,3063,23846,12333,11356,3818,4087,U
10,16,1112683,51272,7887,13378,9920,7588,1227,632,U
17,1,226723,269962,7454,15371,25793,8627,3616,1345,U
41,10,715002,28582,2964,12267,9648,6543,1280,810,U
54,29,109420,33726,12138,2907,4410,3455,1362,736,U
53,26,1193929,67907,3921,17931,15379,7408,3121,2056,U
70,43,1238059,196110,42460,37251,10851,38564,6449,2935,U
48,38,393741,66560,10252,6319,7203,1974,863,750,U
30,41,411003,109022,30930,33591,12356,3372,464,935,U
16,57,946678,62604,65950,7842,6445,3409,995,454,U
13,77,20284,4928,5156,10717,2769,2106,1615,903,U
13,69,738507,189582,13883,108564,8744,2877,4121,1659,U
1,67,228127,22275,22764,20254,6535,2234,1272,721,U
1,60,187911,64418,3180,4097,1372,1246,736,283,U
1,50,652289,134122,17048,18125,9151,4732,5102,2033,U
10,27,464466,356754,8024,21530,50872,7853,6581,2240,U
13,1,145467,144135,4945,15046,9878,8087,3593,2383,U
